,Features,Weights
163,Regulations,-0.5
162,Recruiting,-0.5
164,Requirements Analysis,-0.5
166,Residential Homes,-0.5
168,Reviews,-0.5
169,SQL,-0.5
183,Team Leadership,-0.5
181,Teaching,-0.5
179,Supervisory Skills,-0.5
192,Unified Modeling Language,-0.5
195,User Acceptance Testing,-0.5
194,Unix,-0.5
191,Underwriting,-0.5
203,Video Production,-0.5
209,Web Applications,-0.5
210,Web Design,-0.5
212,Windows,-0.5
211,Web Development,-0.5
213,Windows Server,-0.5
214,Wireless Technologies,-0.5
215,WordPress,-0.5
216,Workshops,-0.5
